id,season,city,citystadium,date,Home,team1,team2,toss_winner,Toss,winner_text,winner,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10,Bat11,Bowl1,Bowl2,Bowl3,Bowl4,Bowl5,Bowl6,Bowl7,Bowl8,Bowl9,Bowl10,Bowl11
1,2017,Hyderabad,Hyderabad,4/5/2017,1,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Sunrisers Hyderabad,1,-0.401919681,6.105912889,0.862923329,1.882801523,-7.814750408,3.001298452,1.145472867,3.625391205,2.385376319,0.457643531,-6.683852308,-8.08425,3.90625,5.088333333,16.0015,-9.568916667,13.9535,-11.4015,-5.305,7.348083333,0.923916667,3.4265
2,2017,Pune,Pune,4/6/2017,1,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,1,Rising Pune Supergiant,1,5.022981997,-2.643038593,0.353027386,3.227763142,16.03677227,4.10741252,-8.1098081,-13.56758252,-2.6939566,-2.559133333,-3.121893491,0,0,-16.2805,15.66216667,-6.375,-2.522083333,0.76575,0.19375,-10.77708333,-0.968333333,4.701666667
3,2017,Rajkot,Gujarat,4/7/2017,0,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,0,-2.980953268,-1.400564566,1.987580041,-1.525243612,-2.185705669,3.861551064,0.167336649,-1.299534402,-2.623588136,-1.269501449,-0.173076923,-6.5,6.5,5.643,-5.729166667,-10.5675,15.05641667,-4.360833333,-4.6515,-1.734166667,-2.456083333,-8.867833333
4,2017,Indore,Punjab,4/8/2017,1,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,1,Kings XI Punjab,1,1.165676237,3.376942392,-3.365122636,-3.196274076,-6.230250403,1.30862619,1.325165137,-3.39288494,3.155262745,8.163736264,-1.217958974,-6.5,3.25,3.25,1.649083333,4.85,-0.71125,-0.889583333,-19.19966667,3.67875,-0.758333333,-17.4825
5,2017,Bangalore,Bangalore,4/8/2017,1,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,1,Royal Challengers Bangalore,1,12.27049575,5.593676419,-1.9442529,-0.705811647,-1.183390963,-12.392511,2.388378016,1.18433007,-3.676206379,1.122715018,-3.631092697,11.33425,19.95725,0,0,17.9015,-20.3625,4.186,2.047166667,-5.936583333,7.353333333,-6.982416667
6,2017,Hyderabad,Hyderabad,4/9/2017,1,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,1,Sunrisers Hyderabad,1,6.920457285,1.841516502,-3.623320577,0.455916827,-4.978545479,-3.334114173,4.771743878,5.742682186,3.285084171,2.545551223,2.426916923,6.5,0.65625,4.1195,18.48066667,3.888333333,-5.18625,-13.53166667,-0.686416667,11.13208333,21.8485,14.26608333
7,2017,Mumbai,Mumbai,4/9/2017,1,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,1,-4.185762605,-4.664323965,-1.976601495,1.863153285,0.643097228,4.073203498,4.560995541,1.415410768,-0.036893706,0.266780228,5.048816568,0,0,-6.5,13.0305,-0.985833333,14.80891667,-13.3075,-2.238,1.5475,8.1835,2.698833333
8,2017,Indore,Punjab,4/10/2017,1,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,0,Kings XI Punjab,1,-3.892312296,13.50419541,-8.587876483,0.829051329,3.122785201,5.975770399,1.198145426,-2.675291101,8.988204236,4.792318881,-2.087907692,-16.70725,0,10.50083333,8.1,3.25,-14.6515,-3.22625,1.815833333,5.523833333,3.399583333,-19.34333333
9,2017,Pune,Pune,4/11/2017,0,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,0,Delhi Daredevils,0,8.770206867,-1.675578269,12.18000858,0.018211367,0.35252332,1.848713724,-5.364114813,-4.646223776,-3.705584561,-2.413133723,1.134807326,3.25,0,-32.5,-4.166666667,8.315916667,-13.8625,16.408,0.18425,-20.46483333,-0.972,8.100833333
10,2017,Mumbai,Mumbai,4/12/2017,1,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,1,-4.652699848,-8.577842675,8.322777776,-0.343299525,3.545766607,4.454813,1.645489879,5.014405551,0.11618396,0.011169834,5.221893491,-0.65625,-6.5,9.142166667,-19.2515,4.93875,9.581666667,6.483333333,0.318666667,-2.705916667,1.80375,0.332
